English,Unnamed: 1
"The passenger plane was landing when it went off the runway in Muan, in the country’s southwest.",positive
"The flight came from Bangkok, only two people survived the crash.",negative
"A Times investigation shows how extensively Israel penetrated the Lebanese militia, closely tracking the group’s commanders and culminating in the assassination of its leader, Hassan Nasrallah.",negative
The leader of Azerbaijan criticized the Russian response to the crash of a passenger jet that Azerbaijani officials said had most likely been hit by Russian air defenses.,positive
"With the war now over, the Taliban are welcoming foreign travelers, even as governments advise their citizens to stay away.",positive
New York Times reporters witnessed the dangerous fentanyl production process inside a secret lab in Culiacán run by Mexico’s most powerful criminal syndicate.,negative
"A plane carrying 181 people crashed while landing, killing most on board.",negative
Officials were investigating a possible malfunction with the landing gear and a bird strike.,positive
"In a year marked by wars, extreme weather and general wickedness, many dispatches defaulted to a distinctly dark tone.",negative
"But as our correspondents traversed the globe, they found pockets of light, too.",positive
"The congregation in Nairobi, Kenya, has been forced to move to 10 different locations over 10 years, and yet it has survived as a sanctuary in an increasingly hostile environment.",positive
The danger and hardship gets worse by the day for civilians in eastern Ukraine.,negative
"Still, they resist leaving the places that have become their homes.",negative
The war with Hezbollah has cleared out the north of the country — save for a hardy few and their thousands of prized fish.,positive
"President Vladimir V. Putin of Russia told the Azerbaijani leader, Ilham Aliyev, in a phone call, “that the tragic incident took place in Russian airspace.”",negative
"The world’s richest man, a key adviser to President-elect Donald J. Trump, ridicules critics over his backing of the German extremist party AfD, as Germany prepares for elections.",positive
"Brutally persecuted for years by the military in Myanmar, the Rohingya ethnic minority has now become the target of one of the junta’s most formidable rivals in the country’s civil war.",negative
A Jeju Air passenger jet carrying 181 people from Bangkok sped off the runway and burst into flames.,negative
Two crew were rescued in what was the country’s worst air disaster in decades.,negative
"Nearly 200 airlines use the 737-800, which makes up about 15 percent of the world’s fleet of aircraft.",positive
"After two impeachments of leaders in two weeks, the country is deep into a political crisis.",negative
"Severely disfigured when the United States dropped an atomic bomb on Japan, she spent her life warning others about the dangers of nuclear war.",negative
Finding the remnants of the old dictatorship and bringing them to justice has emerged as a top priority for the new administration in Syria.,negative
"As we start to look ahead, here’s the best advice that readers of The Morning received this year.",positive
"Steered by an entrepreneurial chief, Membertou First Nation in Nova Scotia led the largest investment by Indigenous people in Canada’s seafood industry.",positive
Russia has assembled a fleet of hundreds of vessels to covertly ship its oil.,positive
"With so many ships at sea, the idea of using some to cause havoc may be proving irresistible to the Kremlin.",negative
"The country, which has one of Europe’s highest smoking rates, is also resisting a wider push for outdoor bans.",negative
"After 20 months of war, and three months of negotiations with the warring sides, a bit of relief arrives for some of the hundreds of thousands of people facing famine.",positive
"Flight attendants and a passenger described the moments before an Azerbaijan Airlines flight went down in Kazakhstan, killing dozens.",negative
"Among the notable figures who died in a sometimes polarizing 2024, many championed justice, equal rights and political freedom.",negative
President-elect Donald J. Trump has threatened to impose tariffs on Canadian exports unless the country stops the flow of migrants and fentanyl to the U.S.,negative
Finland seized an oil tanker that authorities believe might have deliberately cut vital undersea cables.,negative
Finnish authorities believe the tanker may be linked to Russia.,positive
"As a researcher at several universities and an adviser at NASA, he used data analysis to show how the planet’s different systems are interrelated.",positive
Israel and Hezbollah have exchanged strikes and accusations of breaches.,negative
Implementation of the deal has been slow.,negative
But the truce has brought some calm to a tumultuous region.,positive
American officials are wary as they try to persuade the rebels now in control in Syria to govern with an inclusive and moderate hand.,negative
"Cecilia Sala, 29, was arrested on Dec. 19, but news of her detention only became public on Friday.",negative
"The reason for the arrest of Ms. Sala, a well-known reporter, has not been made public.",negative
"The Embraer 190 was traveling to Grozny, Russia, but crashed near Aktau, Kazakhstan, killing 38 people onboard.",negative
Investigators are focusing on Russian air defense as the likely cause.,positive
"The hospital, Kamal Adwan, has been caught in the middle of Israel’s monthslong offensive against Hamas militants in northern Gaza.",negative
"The long-range missiles provided by the United States and Britain were used to strike inside Russian territory, despite concerns that their use would escalate the conflict.",negative
Kyiv’s stockpiles are running out.,negative
A decade since the United States and Cuba restored diplomatic relations — which many believed would transform the island — Cuba is in its worst crisis since Fidel Castro took power.,negative
Sixteen young people evacuated from Gaza for treatment of dire injuries.,negative
"Months later, they face new lives in an unfamiliar country.",negative
"The agency obtained research from 3M in 2003 revealing that sewage sludge, the raw material for the fertilizer, carried toxic “forever chemicals.”",negative
"In his first term, Donald Trump denigrated African nations, but leaders there are hopeful his return will bring more investment and less pressure to uphold democracy and human rights.",positive
"Amid an outcry for justice and accountability and threats online, a once-dominant group is feeling deep anxiety after the ouster of Syria’s dictator.",negative
“Technostuff” built in the last 100 years outweighs all the living matter on Earth.,positive
A mysterious vessel in Finnish waters.,negative
The vote was the second major impeachment in two weeks after President Yoon’s ill-fated martial law bid set off turmoil.,negative
The country’s currency has plunged.,negative
"Treaties ratified by the Senate in 1978 established permanent neutrality, but some Republicans regret that decision.",negative
More than 250 people have died in this southern African nation as protesters disputing the results of the presidential election clash with the police and military.,negative
"The country’s first Sikh prime minister, he introduced free-market reforms that turned India into an economic powerhouse and sought reconciliation with Pakistan.",positive
"The bus, which was carrying more than 50 people, was partly submerged after leaving a road in the country’s northwest.",negative
Syria’s new government is searching for a senior official from the Assad dictatorship and for military forces loyal to the ousted president.,positive
