Text,Label
"Vor zwei Tagen war er im Alter von 92 Jahren verstorben, nun wurde der frühere indische Premier Singh eingeäschert.",negative
Viele verbinden mit ihm vor allem seine Wirtschaftsreformen und den Aufstieg Indiens.,positive
Mit den Großaktionären und Gläubigerbanken einigte sich die BayWa nun auf wichtige Schritte auf dem Weg zur angestrebten Sanierung.,positive
"Laut dem Deutschen Wetterdienst sammelt sich sich dadurch Feinstaub an, der für schlechtere Luftqualität sorgt.",negative
"Der ukrainische Präsident Selenskyj wirft der Slowakei vor, eine ""zweite Energiefront"" gegen die Ukraine zu eröffnen.",negative
Als Heilige Drei Könige verkleidet sammeln junge Sternsinger ab sofort wieder Spenden für Hilfsprojekte:,positive
Im Paderborner Dom ist die Aktion Dreikönigssingen eröffnet worden.,positive
Während der Weihnachtstage wurde in der Ostsee erneut ein Unterseekabel beschädigt.,negative
Finnland vermutet Sabotage und hat ein Schiff festgesetzt.,negative
"Außenministerin Baerbock warnt vor weiteren Vorfällen und spricht von einem ""dringenden Weckruf"".",negative
"Aufnahmen aus einem New Yorker Gefängnis zeigen, wie ein schwarzer Häftling von weißen Wärtern brutal verprügelt wird.",negative
Nach einem Militäreinsatz der israelischen Armee ist offenbar das letzte große Krankenhaus im nördlichen Gazastreifen außer Betrieb gesetzt.,negative
"Die WHO spricht von einer ""systematischen Zerlegung"" des Gesundheitssystems.",negative
"Wochenlang war unklar, was der Grund für eine Welle von Krankheits- und Todesfällen in der Demokratischen Republik Kongo sein könnte.",negative
Nun ist das Rätsel laut der WHO gelöst.,positive
Die Polizei hat am ersten Weihnachtsfeiertag einen 15-Jährigen in Brandenburg in Gewahrsam genommen.,negative
"Die Sicherheitsbehörden gehen davon aus, dass er einen Anschlag plante - nach Erkenntnissen der Behörden auf eine Kirche in Berlin.",negative
"Die Spitzenreiter der beliebtesten Babynamen 2024 sind dieselben wie im Vorjahr: Emilia und Noah bleiben die häufigste Wahl, wie der Namensforscher Bielefeld ermittelte.",positive
Das Bürgergeld sorgte für Streit in der zerbrochenen Ampel-Koalition.,negative
Auch aus aus der Union kommt regelmäßig Kritik.,negative
"Die SPD wäre im Falle einer erneuten Regierungsbeteiligung zu Abstrichen bereit, sagte Fraktionschef Mützenich.",positive
