text,label
"Et ses critiques à l’égard de l’aile gauche de son parti, qu’il accuse d’avoir contribué à la victoire de Donald Trump en faisant fuir les Latinos, les Noirs, les Asiatiques et les juifs.",negative
"L’avenir du pays reste incertain en raison des hostilités historiques entre les différents groupes armés, dont HTC, arrivé au pouvoir après la chute de Bachar Al-Assad, le 8 décembre.",negative
Le corps de Narin Güran avait été retrouvé en septembre dans un sac dans une rivière à environ un kilomètre du village où elle vivait avec sa famille.,negative
"Ce foyer d’influenza aviaire, détecté vendredi 27 décembre, nécessite « des mesures d’éradication immédiate » des volailles concernées, selon l’arrêté préfectoral qui a également placé 8 communes proches en « zone de protection » et 46 autres en « zone de surveillance ».",negative
"Coups, brûlures, violences sexuelles : des témoignages recueillis par les autorités auprès des personnes libérées en novembre 2023 détaillent leurs conditions de détention dans la bande de Gaza après leur enlèvement, le 7 octobre, lors de l’attaque du Hamas en Israël.",negative
"Le premier ministre israélien, Benyamin Nétanyahou, se montre incapable d’abandonner sa logique de guerre au profit d’une logique de paix, même après avoir réduit à néant la bande de Gaza et fait la preuve de la surpuissance militaire de son pays.",negative
"Au début de décembre, Yoon Suk Yeol avait proclamé, à la surprise générale, la loi martiale et envoyé l’armée au Parlement afin de le museler, plongeant le pays dans le chaos.",negative
Djakarta a récemment rapatrié une Philippine également condamnée à mort.,negative
"Une frappe aérienne a visé, vendredi, Sanaa, au lendemain de raids israéliens meurtriers sur des sites aux mains des rebelles yéménites.",negative
L’armée israélienne a aussi annoncé l’interception de missiles lancés du Yémen avant qu’ils pénètrent sur son territoire.,negative
"Le secrétaire d’Etat américain, Antony Blinken, a également condamné la « répression violente » du mouvement de contestation pro-Union européenne d’ampleur qui a lieu depuis un mois, et qu’il impute au parti au pouvoir Rêve géorgien, dont Bidzina Ivanichvili est le fondateur.",negative
"La compagnie dont l’avion de ligne s’est écrasé mercredi à des centaines de kilomètres de sa destination initiale, faisant 38 morts, n’a pas donné plus de précisions.",negative
Des experts et médias internationaux évoquent de leur côté la forte possibilité que l’appareil ait été abattu par erreur par la défense antiaérienne russe.,negative
"Après l’interruption de la liaison à courant continu EstLink2 entre la Finlande et l’Estonie mercredi, l’attention s’est portée sur un pétrolier, « Eagle-S », battant pavillon des îles Cook et suspecté de faire partie d’une « flotte fantôme ».",negative
"Après l’implosion de son gouvernement, le chancelier allemand, Olaf Scholz, avait perdu le 16 décembre le vote de confiance qu’il avait demandé aux députés, ouvrant la voie à de nouvelles élections législatives.",negative
"« Les passagers de l’embarcation en direction de l’Espagne seraient au nombre de quatre-vingts personnes au départ » et « vingt-cinq jeunes Maliens sont malheureusement identifiés parmi les victimes », a déclaré Bamako.",negative
La militante féministe Cristina Fallaras accumule sur sa page Instagram les messages de femmes victimes présumées de comportements inappropriés.,negative
"En février 2021, le président de l’UPR avait été mis en examen après deux plaintes de salariés du parti pro-« Frexit ».",negative
"Houcine Hakkar, garagiste sans histoires, a été tué par erreur le 8 mars 2020 à Besançon par des trafiquants qui l’avaient confondu avec un rival.",negative
"Plus de 16 000 personnes dans 130 pays participaient à des forums sur la messagerie Signal, où plus de 200 téraoctets d’images et de vidéos étaient mis à disposition des utilisateurs.",negative
Six personnes étaient jugées pour leur implication dans l’affaire de la séquestration du footballeur Paul Pogba.,negative
"Son frère, Mathias, a été condamné à trois ans de prison, dont deux avec sursis.",negative
"En septembre, Mario Draghi, l’ancien premier ministre italien, a remis un rapport alarmiste sur le décrochage économique européen.",negative
"Dans la concurrence mondiale exacerbée pour attirer les talents, le Vieux Continent est largement dépassé par les Etats-Unis.",negative
"Des cas de contractuels non renouvelés alors que des remplacements de longue durée ne sont pas couverts ont été signalés par dizaines depuis le début du mois de décembre aux organisations syndicales des académies de Lyon, d’Aix-Marseille ou encore de Reims.",negative
"L’Autorité de la concurrence a prononcé, le 26 décembre, des amendes à l’encontre des deux entreprises pour des accords exclusifs d’importation concernant la fourniture d’équipements, préjudiciable à l’établissement public des télécommunications de l’archipel.",negative
Ceux des forfaits de recharge de véhicule électrique et mobilités durables ainsi que de l’abonnement aux transports en commun augmenteront également de 100 euros.,negative
"Arguant des risques pour son industrie des semi-conducteurs et de la nécessité d’augmenter la compétitivité du pays face aux menaces de Donald Trump, le gouvernement conservateur et les milieux d’affaires plaident pour assouplir le  cadre légal.",negative
"Le 8 octobre, le semencier, filiale de la coopérative Euralis, ​a annoncé la​​ fermeture du site et le licenciement de 59 salariés dès février 2025.",negative
"L’hôpital Kamal Adwan, situé dans le nord du territoire de la bande de Gaza, a été la cible d'une nouvelle attaque de l'armée israélienne, vendredi.",negative
"En Guinée, un opposant politique a été arrêté jeudi à la frontière entre la Guinée et la Sierra leone.",negative
Aliou Bah président du parti Mouvement Démocratique Libéral est accusé d’offense au chef de la transition le Général Mamadi Doumbouya.,negative
Opération rattrapage sur Mayotte pour le gouvernement Bayrou.,negative
En Géorgie J-1 avant une investiture sous haute tension.,negative
"Selon un rapport du parquet sud-coréen, l'ancien président Yoon Suk-yeol avait autorisé l'armée à ouvrir le feu pour entrer au Parlement début décembre lors de sa tentative ratée d'imposer la loi martiale.",negative
"Israël a opéré une nouvelle attaque sur l'hôpital Kamal Adwan dans le nord de la bande de Gaza, vendredi.",negative
"Le directeur de l'hôpital serait par ailleurs détenu par Israël, selon les autorités sanitaires de l'enclave palestinienne.",negative
"Tôt samedi, l'armée israélienne a dit avoir intercepté un missile lancé depuis le Yémen, au lendemain d'une frappe aérienne sur la capitale yéménite Sanaa, tenue par les rebelles houthis.",negative
"Plusieurs soldats nord-coréens blessés sont morts en Ukraine après avoir été faits prisonniers, a annoncé vendredi le président ukrainien Volodymyr Zelensky, accusant la Russie de n'avoir offert à ces militaires qu'""",negative
"Des attaques massives de missiles russes ont endommagé des installations énergétiques et fait au moins trois blessés en Ukraine, le jour où le pays célèbre Noël le 25 décembre pour la deuxième fois de son histoire.",negative
"Le tribunal d'Amsterdam a condamné mardi 24 décembre cinq hommes pour faits de violences et complicité de violence contre des supporters de football israéliens en novembre, lors d'attaques qui avaient été qualifiées d'antisémites par de nombreux gouvernements occidentaux.",negative
"Le bilan du passage dévastateur du cyclone Chido à Mayotte s'est alourdi à au moins 39 morts, 124 blessés graves et 4.",negative
"Nommé ministre des Outre-mer par François Bayrou, il hérite d’un portefeuille sous tension.",negative
L'opposition a vivement critiqué le nouveau gouvernement du Premier ministre François Bayrou.,negative
"Le mouvement Calédonie ensemble a démissionné mardi du gouvernement collégial à la tête de la Nouvelle-Calédonie, entraînant automatiquement la chute de l'exécutif local, a appris l'AFP dans un courrier du parti.",negative
"Une chaîne palestinienne affiliée au Jihad islamique a annoncé la mort de cinq de ses journalistes, tués selon elle à l'aube lors d'une frappe israélienne dans le centre de la bande de Gaza, l'armée israélienne affirmant pour sa part avoir ciblé une cellule du groupe armé.",negative
Premiers signes de tension en Syrie depuis l'accession au pouvoir des HTC.,negative
Des combats ont fait 17 morts alors que des hommes armés tentaient d’empêcher l’arrestation d’un responsable de l’ancien pouvoir.,negative
"Des milliers d'Alaouites ont également manifesté à Homs, Lattaquié, Tartous ou encore Jablé.",negative
"Quatorze membres des forces de sécurité ont été tués mercredi en Syrie, selon le ministère de l'Intérieur, dans des combats avec des hommes armés qui tentaient d'empêcher l'arrestation d'un responsable de l'ancien pouvoir de Bachar al-Assad.",negative
"Ce dernier a officié à la prison de Saydnaya, selon l'OSDH, qui a pour sa part dénombré 17 morts au total.",negative
Le groupe islamiste palestinien assure qu'Israël a posé de nouvelles conditions tandis que Benjamin Netanyahu accuse ce dernier d'être revenu sur les termes de l'accord déjà validés.,negative
"Les soutiens à l'actrice Blake Lively se multiplient après l'action en justice initiée par la star de Gossip Girl, pour harcèlement sexuel et représailles notamment, contre le réalisateur Justin Baldoni avec qui elle partage la tête d'affiche du film """,negative
"Luigi Mangione, soupçonné d'avoir assassiné le patron américain d'UnitedHealthCare pour se venger contre le secteur de l'assurance maladie, a plaidé non coupable, lundi, des charges de meurtre en tant qu'acte """,negative
"Luigi Mangione, le tueur présumé de Brian Thompson, patron d'un géant de l'assurance santé, a été transféré jeudi à New York, où il a comparu pour la première fois devant une juge fédérale.",negative
"La police fédérale brésilienne a arrêté samedi Walter Braga Netto, ancien ministre de la Défense et colistier en 2022 de Jair Bolsonaro.",negative
"Le général est soupçonné d'entrave à l'enquête sur un projet présumé de coup d'État, selon une source policière.",negative
"Cette 25e édition du Mondial inquiète déjà les ONG qui questionnent le respect des droits de l'Homme dans le royaume, ainsi que le coût environnemental de la compétition.",negative
"Après la chute de la dirigeante autocrate, le 5 août, des survivants des geôles du régime ont réapparu, et le gouvernement intérimaire de Muhammad Yunus a mis sur pied une commission d’enquête sur les disparitions forcées et les assassinats extrajudiciaires.",positive
"Après le passage du cyclone qui a dévasté Mayotte, Paris promet de renforcer sa lutte contre l’immigration illégale.",positive
"Pour payer ses études de photographie, Joseph Rodríguez a sillonné sa ville au volant d’un « cab » de location de 1977 à 1987.",positive
"Le Fotomuseum de Maastricht, aux Pays-Bas, consacre une rétrospective à la carrière du photographe documentaire de 73 ans.",positive
"Toute sa vie, le poète Koté Kubaneishvili a lutté pour la liberté.",positive
"Le nouveau ministre de la justice, nommé lundi, était l’invité du journal télévisé de 20 heures de TF1, jeudi 26 décembre.",positive
"Déjà visé par une enquête préliminaire du parquet de Blois, l’ancien maire du Controis-en-Sologne, membre du groupe Les Indépendants-République et territoires au Sénat, est critiqué par la chambre régionale des comptes, notamment pour avoir signé plusieurs marchés publics au profit de ses enfants.",positive
"En janvier 2023, l’ingénieur aérospatial Allan Petre a rejoint l’agence spatiale américaine.",positive
"Issu d’un milieu modeste de Seine-Saint-Denis, il a suivi sa passion – l’espace –, et visé très haut – la NASA – sans jamais se laisser décourager, ou presque.",positive
"Les ingénieurs sont ceux qui trouvent le plus facilement un emploi et les diplômés en management gagnent les plus hauts salaires, constate le ministère de l’enseignement supérieur à l’occasion de statistiques publiées le 20 décembre.",positive
"Ce mois-ci, la trentenaire raconte comment elle s’est éloignée de ses passions artistiques, notamment musicales, pour embrasser l’économie, et pourquoi elle ressent le besoin d’y revenir aujourd’hui.",positive
Le ministère de l’enseignement supérieur et de la recherche a présenté jeudi 12 décembre plusieurs améliorations de la plateforme d’admission dans l’enseignement supérieur.,positive
"Du smartphone aux appareils photo en passant par les tablettes, une large gamme d'appareils électroniques doivent désormais être alimentés par un seul et même chargeur, une mesure adoptée par l'Union européenne pour réduire le gaspillage et la multiplication des câbles.",positive
"L'année 2024 fut une année sportive : CAN, Euro, Roland-Garros, Tour de France, mais surtout les Jeux olympiques et paralympiques de Paris !",positive
"France 24 vous propose de revenir sur les performances de 24 sportifs et sportives, qui nous ont marqués, émus ou étonnés.",positive
"Le pape François a lancé mercredi un appel à la paix dans le monde pour les célébrations de Noël, assombries par les conflits et les crises humanitaires, notamment à Gaza, en Ukraine ainsi qu'au Soudan.",positive
"Le gratin du football africain s'est réuni lundi à Marrakech pour la remise des CAF Awards, sacrant les joueurs, les joueuses, les clubs et les entraîneurs ayant marqué 2024.",positive
"Attendue par les amateurs de football africain, la cérémonie des CAF Awards récompense les plus belles performances du continent.",positive
"Le président russe a téléphoné, samedi, au président azerbaïdjanais, Ilham Aliev, et lui a présenté ses excuses pour l’« accident tragique [qui] s’est produit dans l’espace aérien russe », selon un communiqué publié par le Kremlin.",
"Poutine a admis que la défense aérienne russe était en action, dans ce secteur, au moment des faits.",
"Un discours qui fait resurgir les crispations avec l’archipel voisin, d’où sont originaires la plupart des migrants, et qui revendique sa souveraineté sur le département français.",
"Nommé lundi 23 décembre à la chancellerie, le garde des sceaux a affirmé au « Parisien » souhaiter la construction de nouvelles prisons pour l’exécution des peines de « quelques mois, semaines voire jours ».",
"« L’armée et les services du renseignement ont terminé une opération ciblée contre un centre de commandement du Hamas dans l’hôpital Kamal-Adwan », a déclaré l’armée israélienne dans un communiqué.",
"L’armée a confirmé que le directeur de l’établissement « suspecté d’être un terroriste du Hamas », avait été arrêté pour être interrogé.",
"A 71 ans, il est l’un des plus éminents porte-voix de la cause autochtone brésilienne.",
"Cet auteur à succès est aussi devenu, en avril, le premier indigène élu à l’Académie des lettres.",
Un honneur qui lui vaut l’opprobre d’une nouvelle génération de militants l’accusant d’être la caution de l’intelligentsia blanche.,
D’autant que l’homme se refuse à soutenir un camp politique.,
"Jeux vidéo, végétarisme, polyamour, politique… quatre parents expliquent en quoi leur fils ou leur fille ont pu faire évoluer leurs conceptions ou leur ouvrent de nouveaux horizons.",
"Cet ancien collaborateur du « Nouvel Observateur » et de « L’Express », auteur de biographies de Malraux et de Camus, était aussi le père de l’essayiste Emmanuel Todd.",
"Moins connu que sa voisine Alexandria Ocasio-Cortez, le député de 36 ans, possible candidat à la mairie de New York ou à un poste de gouverneur d’Etat, affûte ses ambitions nationales.",
"Le tribunal de Diyarbakir a condamné la mère, le frère aîné et l’oncle de Narin pour « meurtre délibéré en collaboration ».",
Il n’y a pas eu que les Jeux olympiques de Paris dans l’actualité sportive de l’année écoulée.,
"Un mois avant cette grand-messe estivale dans la capitale, l’Allemagne accueillait le championnat d’Europe des nations de football, en pleine crise politique en France.",
"Alors que le principal parti d’opposition boycotte le scrutin de dimanche, le fils et successeur d’Idriss Déby Itno, élu président en mai, devrait obtenir sans difficulté la majorité des sièges à l’Assemblée nationale.",
Ce rapport devrait être remis à l’ONU.,
"Avant la venue du premier ministre, des collectifs citoyens de Mayotte ont dénoncé « l’insuffisance criante des mesures » de soutien après le passage du cyclone Chido.",
"Le président russe a présenté ses excuses, son homologue azerbaïdjanais a rappelé que l’avion avait été frappé « dans l’espace aérien russe » par « une interférence physique externe », accréditant la thèse d’un tir de la défense antiaérienne russe.",
"Portée par les expatriés russes en particulier, la pratique de la crosse et du palet s’est développée et structurée depuis une quinzaine d’années dans la pétromonarchie.",
"Chaque soir, à Tbilissi, le septuagénaire manifeste, aux côtés de milliers de ses concitoyens, pour contester l’élection, le 14 décembre, du président prorusse Mikheïl Kavelashvili.",
"Le projet doit encore être validé par le Parlement, alors que le pays est soumis à la pression de la Russie et la Chine.",
"Les suspicions se portent sur la Russie, port d’attache ou d’escale de plusieurs navires impliqués.",
Les pays de l’Alliance ont décidé de nouvelles mesures pour traquer les fauteurs de troubles.,
"Il faut tenir compte de la perception des électeurs sur l’inflation et l’immigration, avertit, dans une chronique au « Monde », l’économiste qui voit des analogies entre les situations des Etats-Unis et de la France.",
"Arrêté en 2005 dans une usine où de la drogue avait été découverte, le Français, aujourd’hui âgé de 61 ans, devait être exécuté en 2015, mais il a obtenu un sursis temporaire.",
"Presque cinq ans après le Brexit, les ressortissants britanniques sont toujours nombreux à s’installer en France.",
Ils affectionnent particulièrement « un arc allant de la Bretagne au Gers ».,
"Dans certaines campagnes en déclin, ils freinent l’hémorragie démographique et contribuent à revivifier l’économie et la vie culturelle locales.",
"En fuite après l’effondrement de son entreprise, qui avait emporté 40 milliards de dollars d’investissements, Do Kwon avait été arrêté en mars 2023 au Monténégro.",
"Agée de 29 ans, Cecilia Sala travaille pour le quotidien « Il Foglio » et l’agence de podcast Chora Media.",
"Elle se trouvait depuis une dizaine de jours dans le pays pour travailler et s’apprêtait à rentrer en Italie quand elle a été arrêtée à Téhéran, le 19 décembre.",
"Le nouvel outil défensif majeur de l’Alliance atlantique est inauguré alors que Varsovie est devenue la principale base arrière des Occidentaux pour l’aide militaire à l’Ukraine, et que Vladimir Poutine agite de plus en plus la menace balistique.",
"Le car, qui a fini sa course dans un lac sur la côte nord du pays, transportait des passagers originaires d’au moins huit pays différents, dont la France.",
"L’Union européenne produit des biens collectifs, elle apporte plus de stabilité et de sécurité que ses Etats membres pris individuellement, affirment les économistes Jérôme Creel et Thierry Madiès dans une tribune au « Monde ».",
"Dans une tribune au « Monde », un collectif de personnalités et de citoyens parmi lesquels Daniel Cohn-Bendit, Ariane Mnouchkine, le général Vincent Desportes et Adam Michnik, appelle à la mise en place d’une coalition entre Etats européens accordés sur quelques mesures vitales pour un pays qui défend sa liberté et protège les nôtres.",
"Mercredi à la mi-journée, une panne d’un câble sous-marin électrique entre la Finlande et l’Estonie est survenue.",
"Le nombre de morts, recensé par l’ONG espagnole Caminando Fronteras, est supérieur de 58 % à celui enregistré l’année dernière sur les routes migratoires vers l’Espagne.",
"En France, un enfant sur cinq vit sous le seuil de pauvreté, et 160 000 sont victimes de violences sexuelles chaque année, selon la Dynamique pour les droits des enfants, qui porte la voix d’associations et de collectifs engagés sur les questions liées à l’enfance.",
"Selon les informations du « Monde », l’édile de la commune du Val-de-Marne Olivier Dosne est visé par une enquête préliminaire pour « prise illégale d’intérêts » en lien avec son ancienne officine et un projet urbain de zone d’aménagement concertée.",
